店铺名,星级,点评数量,人均,口味,环境,服务
滇草香云南原生态汤火锅(三里屯店),准五星商户,1161,￥136,8.6,9.1,8.6
功夫潮牛潮汕牛肉火锅,准五星商户,175,￥121,8.7,8.7,8.8
福寿斋(创展店),准五星商户,164,￥112,9.0,9.1,8.8
龙门阵串串香(东直门簋街店),准五星商户,736,￥85,8.9,8.2,8.8
王家渡火锅店(悦荟万科广场店),五星商户,1302,￥128,9.1,9.1,8.7
四川仁火锅(双井店),准五星商户,9190,￥96,8.3,8.2,8.0
芦月轩羊蝎子(西三旗店),准五星商户,2100,￥79,9.0,8.4,8.3
八先生涮肉房(北苑店),准五星商户,619,￥136,8.6,9.0,8.2
芝士蜜瑞士芝士火锅餐厅(小菊儿胡同店),准五星商户,3858,￥91,8.6,8.1,8.5
前后涮羊肉(二里庄店),五星商户,574,￥100,8.9,8.1,8.9
紫龙火锅(蓝色港湾店),准五星商户,655,￥115,9.0,9.0,8.8
老北京涮肉(旧鼓楼店),准五星商户,525,￥108,9.0,8.1,8.2
谢记火锅(工体店),准五星商户,2370,￥145,8.6,9.0,8.5
王婆大虾(清河店),五星商户,128,￥72,9.0,9.0,9.1
唇辣号重庆老火锅(中山大街店),五星商户,833,￥101,9.2,9.2,9.2
小牛海记潮汕牛肉店(牡丹园店),准五星商户,5892,￥106,8.5,8.2,8.0
月季串串,准五星商户,533,￥62,9.0,8.0,8.6
京都蝎府羊蝎子火锅(紫竹桥店),准五星商户,1884,￥94,9.1,8.7,8.5
老门框爆肚(金宝街店),准五星商户,500,￥102,9.0,7.8,8.1
康二姐串串香(三里屯总店),准五星商户,2376,￥76,8.5,8.3,8.0
浅蓝现代精品火锅(上地店),五星商户,225,￥86,9.1,9.2,9.1
匹夫涮肉城(黄村店),五星商户,1117,￥98,9.0,8.8,8.6
HI辣火锅(望京店),准五星商户,7217,￥127,8.8,8.9,8.8
春記潮汕牛肉火锅(悦辰里店),准五星商户,97,￥97,8.9,9.2,9.0
芦月轩羊蝎子(鲁谷店),五星商户,1143,￥77,9.0,8.8,9.0
阳坊胜利涮羊肉(大成路店),准五星商户,1549,￥124,9.0,8.7,8.7
鱼豆吉(大慧寺店),准五星商户,1826,￥67,8.8,8.1,8.8
潮黄记潮汕牛肉火锅(常营店),准五星商户,291,￥119,8.8,8.8,8.8
姚记羊蝎子(回龙观店),五星商户,1441,￥78,9.0,8.7,8.8
重庆地瓜老火锅(田村店),五星商户,588,￥92,9.1,9.1,9.1
銅瓷老北京涮肉,准五星商户,564,￥106,8.9,9.0,8.9
火炉火 made by oz(东源大厦店),准五星商户,12038,￥83,8.6,8.5,8.5
虾吃虾涮虾火锅(金台路店),五星商户,2658,￥94,9.1,8.8,9.0
邻家院子重庆火锅,准五星商户,2415,￥130,8.7,9.2,9.0
杠上开花 串串香,准五星商户,365,￥69,8.8,8.1,8.5
大成醉串串(顺义店),准五星商户,138,￥57,8.7,9.0,9.1
沸炉火锅.地道的川味火锅(和平里店),准五星商户,1070,￥106,9.1,9.0,8.8
渡娘火锅(朝阳门店),五星商户,2078,￥101,9.0,8.9,9.0
丽江龙记斑鱼庄(虎坊桥店),五星商户,1041,￥118,9.0,8.8,8.9
韩江潮汕鲜牛肉火锅,准五星商户,758,￥127,9.0,8.6,8.7
玉林串串香(凯德MALL店),准五星商户,1077,￥81,8.9,8.4,8.4
古铜老院爆肚涮肉(双井店),准五星商户,673,￥95,9.0,8.7,8.3
小哥串串香(银河SOHO店),准五星商户,271,￥57,9.0,8.8,9.0
老诚一锅(五棵松店),准五星商户,941,￥99,8.8,8.6,8.8
火宴山自助火锅(大悦城店),四星商户,13794,￥84,8.1,8.0,8.2
牛村来人潮汕鲜牛肉火锅(慈云寺店),准五星商户,1685,￥104,9.0,9.1,8.7
八婆功夫麻辣馆(霄云路明星店),准五星商户,423,￥115,8.4,8.8,8.4
牛记皇·鲜牛记精品牛肉火锅(洋桥店),五星商户,583,￥104,9.0,9.2,9.2
陈记顺和潮汕牛肉火锅(东城金宝街店),准五星商户,1203,￥102,8.8,8.6,8.2
鲜牛记潮汕牛肉火锅(石景山鲁谷店),准五星商户,1024,￥123,8.6,8.6,8.5
高兴一锅潮汕牛肉火锅(回龙观店),五星商户,100,￥94,9.0,9.0,9.1
鸦儿李记(展览路店),准五星商户,180,￥78,8.9,8.9,8.3
小渝箩,五星商户,495,￥46,9.1,9.2,9.1
亮健容天土锅羊羯子(安定门内大街直营店),五星商户,2436,￥93,9.2,8.2,8.9
萌心火辣串串香(亚运村店),准五星商户,703,￥90,8.8,9.0,9.0
沸炉火锅·地道的川味火锅(怀柔店),五星商户,581,￥96,9.2,9.2,9.3
云煲天下肉蟹煲,准五星商户,621,￥82,8.6,8.4,9.0
四川仁火锅(新兴桥店),准五星商户,5988,￥96,8.5,8.4,8.2
一品焖锅(富力广场店),准五星商户,1970,￥93,8.7,9.0,9.0
耕牛堂（訸記）潮汕鲜牛肉火锅(朝阳门旗舰店),准五星商户,571,￥131,8.8,8.9,8.8
鱼之椒(西四店),五星商户,291,￥92,9.1,8.6,9.0
黄门老灶火锅(工体店),准五星商户,586,￥125,8.6,8.2,8.4
东来顺饭庄(望京华彩商业中心店),准五星商户,2894,￥120,8.9,8.9,8.8
鬼椒一番锅(万柳华联店),准五星商户,285,￥117,8.7,9.1,9.1
百叶居(赵登禹路店),准五星商户,1977,￥126,8.8,7.7,7.5
斗川火锅(三元桥店),准五星商户,371,￥111,8.7,9.0,9.0
井格老灶火锅(悠唐购物中心店),准五星商户,5456,￥119,8.8,8.7,8.3
芦月轩羊蝎子(通州店),五星商户,1340,￥75,9.0,8.6,8.5
辣莊重庆老火锅(簋街店),准五星商户,6070,￥128,8.4,9.0,8.4
哪儿吃串串香,准五星商户,134,￥65,8.5,8.9,9.0
田源鸡火锅(劲松桥店),准五星商户,2677,￥77,8.6,7.9,8.3
潮牛崔记潮汕全牛火锅(平谷店),五星商户,828,￥85,9.3,9.3,9.3
胡同串子串串香火锅(槐房万达店),准五星商户,496,￥78,8.8,9.1,9.0
虾士(凯德MALL店),准五星商户,285,￥92,8.7,8.7,8.7
亦品阁四季涮肉(亦庄店),准五星商户,967,￥95,8.9,8.4,8.4
老诚一锅(上地店),五星商户,71,￥81,9.2,9.1,9.0
京门老爆三(芳群园店),五星商户,218,￥82,9.1,9.1,8.9
耍牛忙串串香(通州旗舰店),准五星商户,60,￥61,9.0,8.8,7.8
壹零壹陆串串小吃文化馆(交道口店),准五星商户,413,￥80,8.5,8.2,8.3
私奔(阎村店),五星商户,56,￥97,9.1,9.1,9.1
原牛道牛肉火锅(世界城店),准五星商户,500,￥114,8.5,9.0,8.6
兰亭猪手火锅,准五星商户,2918,￥97,8.4,8.5,8.0
唇辣号重庆老火锅(苏州街店),准五星商户,1067,￥128,8.8,8.9,8.7
来涮蜀串串香火锅(宣武门店),准五星商户,1117,￥93,8.8,8.3,8.3
北华涮肉小院(西苑店),准五星商户,155,￥84,8.6,8.9,8.5
坚石餐厅(北辰店),准五星商户,92,￥95,8.7,9.1,8.9
摸错门牛肚王(良乡店),五星商户,2300,￥76,9.1,9.1,9.0
蒙之宝牛火锅全牛料理(三里屯店),五星商户,535,￥121,9.0,9.2,9.1
东来顺饭庄(呼家楼店),准五星商户,1996,￥118,8.8,8.6,8.0
京虎门爆肚涮肉(角门东店),准五星商户,211,￥83,9.1,9.1,8.5
辣巢火锅(五彩城店),准五星商户,289,￥132,8.6,8.7,8.7
小辉哥火锅(王府井in88店),准五星商户,1500,￥130,8.8,9.2,9.0
渡娘火锅(健翔桥店),五星商户,1667,￥98,9.1,9.1,9.1
京满朋涮肉羊蝎子(古城店),五星商户,155,￥80,9.0,9.1,8.7
阳坊胜利涮羊肉(胜利老店),准五星商户,2025,￥97,9.0,8.0,8.0
太婆天府山珍酒楼(亚运村店),准五星商户,839,￥122,9.1,8.4,8.4
五悦北平四季涮肉(总店),准五星商户,288,￥111,8.7,9.1,8.8
巧巧姐真牛火锅,五星商户,286,￥146,9.0,9.1,9.0
老诚一锅(东四店),准五星商户,4342,￥87,8.7,7.4,7.7
一串香椒砂锅串串香,准五星商户,196,￥75,8.5,9.1,9.0
华阳餐厅,五星商户,589,￥80,9.0,8.3,8.8
井格老灶火锅(新世界百货店),准五星商户,1635,￥122,8.8,8.7,8.5
嗨番茄·番茄酸汤鱼(欧美汇店),准五星商户,61,￥40,8.9,8.5,8.5
新川办餐厅,四星商户,2925,￥112,8.2,8.4,7.3
斗川火锅(莲花桥店),五星商户,581,￥106,9.0,9.0,9.0
芦月轩羊蝎子(科丰店),五星商户,1097,￥79,9.1,8.6,8.8
醉麻辣(中国红街店),准五星商户,2187,￥94,8.4,8.4,8.1
东来顺(朝阳双井店),准五星商户,7842,￥105,8.6,7.9,7.8
王缸钵重庆老灶火锅,准五星商户,355,￥150,9.0,9.0,9.0
小肥羊(西三旗店),五星商户,3047,￥87,9.1,9.1,9.1
王家渡火锅店(奥运村店),准五星商户,3304,￥151,8.6,8.3,7.9
铁瓷涮肉(花乡店),五星商户,171,￥93,9.2,9.2,9.2
今牛海记潮汕鲜牛肉火锅,五星商户,135,￥89,9.1,9.2,9.2
龙门阵串串香(北京总店),准五星商户,2073,￥83,9.0,7.5,8.4
御鸭神 干锅火锅(望京国际商业中心店),五星商户,156,￥76,9.1,9.0,9.1
宽街窄巷串串香(土桥华远店),五星商户,99,￥53,9.1,9.1,9.2
山城辣妹子重庆火锅(松榆西里十分店),五星商户,3089,￥95,8.9,8.6,8.8
前门张记涮肉店(前门店),准五星商户,702,￥111,9.0,7.4,8.9
小辉哥火锅(SKP店),准五星商户,1974,￥162,8.8,8.6,8.3
首尔798韩国料理地区(五道口东源大厦店),四星商户,4365,￥86,8.1,8.4,8.3
额吉草原传统涮,五星商户,214,￥109,9.0,9.2,9.0
牛记皇·鲜牛记精品牛肉火锅(泛海国际精品店),五星商户,262,￥124,9.0,9.1,9.0
京都蝎府羊蝎子(珠市口店),五星商户,169,￥84,9.1,9.2,8.9
表哥羊鸡火锅(来广营店),准五星商户,501,￥184,9.0,8.0,8.3
串串金,准五星商户,1242,￥74,8.4,8.8,8.6
田源鸡火锅(通田店),五星商户,850,￥77,9.1,8.5,8.9
黄门老灶火锅(簋街直营店),准五星商户,1269,￥99,8.9,8.0,8.1
沸炉火锅.地道的川味火锅(港龙店),准五星商户,2196,￥97,8.9,8.8,9.0
玉林串串香(东直门簋街店),四星商户,4247,￥107,8.5,7.6,7.9
芦月轩羊蝎子(健德门店),准五星商户,498,￥75,8.4,9.0,8.4
黄记煌三汁焖锅(大成路店),五星商户,2333,￥82,9.0,8.9,8.8
椒壳重庆江边火锅,准五星商户,657,￥122,9.0,8.8,8.8
山城辣妹子重庆火锅(甘露园店),五星商户,1431,￥99,9.0,9.1,9.0
杨家火锅(甜水园店),准五星商户,1783,￥129,8.6,8.8,8.7
京门老爆三(角门店),准五星商户,491,￥108,9.0,8.4,8.2
虾吃虾涮(十里堡店),五星商户,1255,￥75,9.1,9.0,9.0
小岛海鲜自助火锅,准五星商户,1576,￥84,8.1,8.4,8.6
名鼎阁自助烤肉火锅,四星商户,303,￥81,8.1,8.4,8.2
黄门老灶火锅(亚运村店),准五星商户,755,￥126,8.8,8.6,8.4
8号苑(西单店),准五星商户,4692,￥74,8.1,7.7,8.1
芦月轩羊蝎子(杨闸店),五星商户,632,￥91,9.0,9.0,9.0
六月刘涮烤(天坛店),准五星商户,443,￥88,8.8,8.4,8.7
鸳鸯渡·正宗重庆火锅(健德门店),准五星商户,237,￥111,8.7,9.0,8.8
重庆地瓜老火锅(陶然桥店),五星商户,405,￥110,9.0,8.9,9.0
爆肚金生隆,四星商户,1117,￥135,8.4,7.7,8.3
椒珑燚冷锅串串香(创始店),准五星商户,317,￥65,9.0,9.0,8.7
8号苑秘制火锅(80后主题店),准五星商户,2377,￥91,8.0,8.2,8.2
火三人酸萝卜乌江鱼火锅,五星商户,282,￥74,9.2,8.5,9.2
锦牛潮汕鲜牛肉火锅,五星商户,564,￥84,9.0,9.1,9.1
孙大大甲鱼馆(刘家窑店),准五星商户,84,￥85,8.8,9.0,8.8
滇草香云南原生态汤火锅(朝阳大悦城店),准五星商户,2467,￥139,8.7,9.1,8.4
豆捞坊(西单大悦城店),四星商户,12903,￥98,7.8,8.1,7.3
东来顺饭庄(金隅嘉品Mall店),准五星商户,872,￥84,8.7,9.1,9.1
香草香草云南原生态火锅(麒麟新天地店),准五星商户,2208,￥135,9.0,9.1,9.0
313羊庄主打：铜锅烀肉 鲜羊肉涮锅,准五星商户,1420,￥114,8.9,9.0,9.0
银滩金汤酒楼(望馨店),五星商户,1250,￥187,9.0,8.7,8.8
虎鸽传奇手抓海鲜,准五星商户,433,￥118,8.7,8.1,8.0
辣府(五道口店),四星商户,2192,￥137,8.4,8.6,8.0
阳坊胜利镖门涮(沙河店),准五星商户,955,￥105,8.8,9.0,8.5
蛙蛙叫干锅年代(东直门簋街店),准五星商户,8346,￥91,8.4,8.5,8.2
山城辣妹子重庆火锅(呼家楼北街店),准五星商户,2464,￥92,8.8,8.4,8.4
山城辣妹子重庆火锅(望京花园店),五星商户,1507,￥101,8.9,8.8,8.7
阳坊胜利涮羊肉(胜利总店),准五星商户,2469,￥105,8.8,7.9,7.7
渡娘火锅(亚运村店),五星商户,3139,￥102,9.1,9.1,9.0
黄门老灶火锅(望京直营店),准五星商户,187,￥115,9.0,8.3,8.3
蝎王府(西直门店),准五星商户,2217,￥83,8.8,8.3,8.1
Miss火新派重庆火锅,准五星商户,1154,￥106,8.9,9.1,9.0
蝎王府(六里桥店),准五星商户,1796,￥82,9.1,8.5,8.2
相扑烧肉特色汽油桶烧肉,准五星商户,584,￥131,8.5,8.9,8.8
南门四季涮肉(亚运村店),准五星商户,604,￥103,8.6,8.4,8.1
北涮铜锅涮肉,五星商户,243,￥83,9.1,8.2,8.6
四品府涮肉(望京路店),五星商户,489,￥92,8.9,8.5,8.4
万蓉轩,五星商户,507,￥101,9.1,9.2,9.2
重庆地瓜老火锅(总店),准五星商户,1466,￥108,9.0,9.0,8.7
老北京前后涮羊肉(和平里店),准五星商户,1155,￥99,8.9,8.7,9.0
葱葱那年校园主题串串香火锅(霄云路店),准五星商户,536,￥90,8.8,9.0,8.8
潮汕阿五牛肉店(百脑汇旗舰店),准五星商户,442,￥120,8.9,9.2,9.0
赤火锅 Red Bowl,准五星商户,496,￥410,8.2,9.2,8.6
戈拿旺·王厨椰子鸡,准五星商户,327,￥143,8.5,9.2,9.1
小辉哥火锅(侨福芳草地店),准五星商户,3136,￥145,8.5,8.8,8.3
蜀粤九香火锅&音乐烤串,五星商户,163,￥69,9.1,9.2,9.1
芦月轩羊蝎子(太平桥店),准五星商户,1947,￥77,9.1,8.2,8.4
菜麻串串香(通州万达店),准五星商户,289,￥69,8.7,8.6,9.1
牛者潮汕鲜牛肉火锅(育芳园24小时店),五星商户,407,￥96,9.1,9.0,9.0
北平涮肉,准五星商户,139,￥91,8.8,8.4,7.9
辣爷重庆老灶火锅(温泉镇店),五星商户,124,￥87,9.1,9.1,9.0
老诚一锅(双井店),准五星商户,1154,￥97,8.9,8.8,8.3
山城辣妹子重庆火锅(方庄一店),准五星商户,3334,￥88,8.8,8.3,8.1
八先生涮肉房(三里河店),四星商户,1160,￥110,8.4,6.8,7.5
火宴山自助火锅(方恒购物中心店),四星商户,13842,￥78,7.9,8.1,8.1
啊咕咔咔牛蛙大咖,准五星商户,163,￥76,8.6,9.1,8.9
香草香草云南原生态火锅(人大西门店),准五星商户,10936,￥100,8.3,7.8,8.6
首尔798韩国料理地区(新荟城购物中心店),准五星商户,1706,￥93,8.3,8.8,8.8
大得涮肉(三元桥总店),四星商户,2611,￥114,8.5,8.2,7.3
大虎老火锅,准五星商户,1106,￥124,8.6,8.2,8.1
鑫方老鸭汤火锅·羊蝎子(学院路店),准五星商户,1106,￥74,8.9,7.9,8.2
蝎王府羊蝎子(双井店),准五星商户,297,￥85,9.1,8.4,8.1
斗川火锅(加州水郡店),五星商户,82,￥85,9.1,9.0,9.1
签佬汇成都串串香(西直门店),准五星商户,323,￥64,8.6,8.4,8.2
泉月火锅(艺海国际店),准五星商户,69,￥95,8.9,9.0,8.9
火炉火烤肉·芝士排骨(新世界百货崇文店),四星商户,4360,￥88,8.3,8.0,8.1
KKC口口串(太阳宫店),准五星商户,292,￥72,8.6,8.0,9.0
老官嘴老灶火锅(定福庄店),五星商户,72,￥93,9.1,9.1,9.1
万德源四季涮肉坊,五星商户,1247,￥79,9.1,8.8,9.0
巴蜀签串串香火锅(顺义店),准五星商户,296,￥69,8.4,8.4,8.6
常赢三兄弟(国贸店),四星商户,1021,￥108,8.6,7.7,7.6
山城辣妹子重庆火锅(长楹天街购物中心店),准五星商户,4054,￥103,8.7,9.0,8.3
我还年轻毛肚火锅(台湾街店),准五星商户,383,￥117,8.7,8.7,8.8
潮汕美牛肉丸火锅店,准五星商户,2518,￥94,8.5,7.5,7.9
渡娘火锅(龙跃店),五星商户,3347,￥103,9.1,9.0,8.7
林记顺合潮汕牛肉火锅(旺座店),准五星商户,659,￥112,8.8,8.2,8.4
热辣壹号(西单老佛爷店),准五星商户,4803,￥127,8.4,8.8,8.5
裕德孚老北京涮羊肉,四星商户,646,￥120,8.9,6.5,7.3
蝎王府(石景山店),准五星商户,264,￥71,9.0,8.7,7.9
羊守一(月亮河店),五星商户,95,￥93,9.0,8.5,8.9
小猫鱼捞(回龙观店),准五星商户,39,￥82,8.8,8.9,8.7
签约成都串串香,四星商户,754,￥66,8.4,8.5,8.4
重庆老寨子火锅,准五星商户,196,￥96,9.0,9.1,9.2
呼伦贝尔品质火锅,五星商户,343,￥95,9.1,9.2,8.7
杨家火锅(望京店),准五星商户,2530,￥125,8.6,8.8,8.3
定海神针冷锅串(刘家窑店),准五星商户,1907,￥89,8.5,8.6,8.2
四季大盘涮肉园(双峪.店),五星商户,1247,￥80,9.0,8.5,8.9
湘肠香火锅店(团结湖店),四星商户,2632,￥83,8.6,6.7,7.0
鲟龙鱼火锅(永旺梦乐城店),五星商户,185,￥118,9.1,9.2,9.3
京门老爆三(欢乐谷店),准五星商户,278,￥103,9.0,8.5,8.2
虾吃虾涮(长楹天街店),准五星商户,1621,￥71,8.9,8.2,8.4
大玖火锅,准五星商户,136,￥73,8.7,8.8,8.9
添一顺(空军指挥学院店),四星商户,1838,￥89,8.6,6.8,6.8
有面儿串串香火锅(马驹桥店),五星商户,179,￥67,9.1,9.1,9.2
小牛海记潮汕牛肉店(长椿街店),准五星商户,1030,￥106,8.6,8.4,8.2
玉林串串香(丰管路店),准五星商户,373,￥85,8.7,8.1,8.5
羊守一(九棵树店),五星商户,816,￥95,9.0,9.1,9.1
玄坛庙火锅串串,五星商户,70,￥96,9.1,9.2,9.1
重庆肴焱火锅(黄村店),五星商户,162,￥98,9.1,9.3,9.1
有面儿串串香火锅(亦庄店),准五星商户,1535,￥71,8.7,8.1,8.6
大得涮肉(牡丹园店),准五星商户,969,￥115,9.0,9.1,8.0
青瓷川粤火锅,准五星商户,255,￥122,8.6,9.2,9.1
小肥羊(军博店),准五星商户,6775,￥90,8.4,8.6,8.2
亮健容天土锅羊蝎子(林肯公园店),五星商户,575,￥80,9.1,8.4,9.0
八戒蹄花锅,准五星商户,1671,￥86,8.7,7.8,8.4
东来顺饭庄(惠新店),准五星商户,119,￥106,8.9,9.1,8.6
金牛潮汕牛肉火锅,五星商户,19,￥102,8.9,8.9,9.0
蝎梁府(东土城路店),准五星商户,1390,￥90,8.9,8.2,8.0
朱题·猪手火锅(将台路店),准五星商户,1123,￥86,8.9,8.5,8.3
唇辣号重庆老火锅(西单店),准五星商户,751,￥122,8.7,8.9,9.0
虾士(凯德MALL太阳宫店),准五星商户,658,￥93,8.6,8.7,8.6
渝味辣铺,准五星商户,118,￥98,9.0,8.6,8.9
北华涮肉(北大西门店),准五星商户,993,￥81,8.6,7.6,7.8
私蜀老灶火锅(台湾街店),准五星商户,2326,￥103,9.0,8.7,8.7
蝎王府(北大地店),准五星商户,1462,￥82,9.1,8.6,8.6
重庆十八梯老火锅(总店),准五星商户,1577,￥110,8.6,8.4,8.4
林记顺合潮汕牛肉火锅(数码01大厦店),准五星商户,557,￥125,8.3,8.4,8.4
喇喇排骨火锅(望京西园店),准五星商户,1069,￥82,8.7,7.9,8.0
和庆斋秘制羊蝎子阳坊涮肉(望京店),准五星商户,811,￥91,8.9,8.7,8.8
老门框爆肚涮肉(五棵松清真蓝港店),准五星商户,113,￥81,8.5,8.5,8.4
老诚一锅(望花路店),准五星商户,536,￥87,8.7,8.2,8.4
朱题·猪手火锅(安苑北里店),准五星商户,2666,￥88,8.4,7.6,8.2
谷雨(望馨商业中心店),准五星商户,260,￥91,8.9,9.0,9.1
今牛海记潮汕牛肉火锅(慈云寺店),准五星商户,1126,￥103,8.8,8.8,8.7
蜀签传成都串串,四星商户,258,￥70,8.5,8.3,8.1
热辣壹号(荟聚购物中心西红门店),准五星商户,4019,￥120,8.3,8.8,8.4
王婆大虾(右安门店),准五星商户,227,￥80,9.1,8.7,8.5
重庆李记火锅串串香(悠乐汇店),准五星商户,223,￥72,8.9,8.4,9.0
玖斤油鹅肠火锅,准五星商户,231,￥144,8.6,9.3,8.2
小珺柑串串香(屯三里店),四星商户,2071,￥98,8.6,8.5,7.7
朴氏私房火锅(天通苑店),五星商户,60,￥74,8.8,8.9,9.1
三董小川堂串串香火锅,准五星商户,148,￥77,8.7,8.6,9.1
羯子李(国奥店),准五星商户,879,￥95,8.7,8.0,7.7
滇草香云南原生态汤火锅(华联万柳店),准五星商户,1718,￥137,8.8,9.1,9.0
井格老灶火锅(翠微百货店),准五星商户,1536,￥132,8.8,8.6,8.4
御青园老北京铜锅涮肉/烧烤季,准五星商户,81,￥80,8.9,8.7,8.9
京门老爆三(回龙观店),准五星商户,279,￥85,8.4,8.4,8.4
京门老爆三(怀柔店),准五星商户,111,￥93,9.0,9.0,8.9
奇门涮肉坊(簋街总店),准五星商户,1219,￥123,8.8,8.2,8.4
裕尚格——正宗成都冷锅串串香,准五星商户,58,￥65,8.7,8.7,8.6
虾吃虾涮(劲松华腾北塘店),准五星商户,2400,￥95,9.0,8.5,8.5
二人锅(北京爱琴海购物公园店),四星商户,894,￥80,8.2,9.0,8.6
重庆鲜货老灶火锅(动物园店),准五星商户,736,￥111,8.8,8.7,8.6
杨家火锅(大望路店),四星商户,1180,￥136,8.6,8.4,8.0
蝎王府(常营店),准五星商户,921,￥72,9.0,9.0,8.7
王婆大虾(回龙观旗舰店),准五星商户,1404,￥74,9.1,8.2,8.4
82号小院,四星商户,936,￥106,8.5,7.2,7.6
老诚一锅羊蝎子(天通苑店),准五星商户,2131,￥86,9.0,8.3,8.5
热辣壹号(当代店),准五星商户,4344,￥113,8.4,8.9,8.4
王婆大虾(西坝河店),五星商户,312,￥72,9.1,8.8,9.1
那味道串串香(喜隆多新国际店),准五星商户,1407,￥64,8.6,8.3,9.0
三公小郡肝串串香,准五星商户,64,￥67,9.0,8.6,8.5
老马涮肉,五星商户,140,￥82,9.2,8.3,9.0
瓷器涮肉,准五星商户,1170,￥95,8.5,7.9,7.9
渔状元火锅(金台路店),准五星商户,3420,￥94,8.9,8.3,8.5
澐记焖锅,五星商户,35,￥107,9.1,8.2,9.1
德记·北京,准五星商户,50,￥78,8.8,9.1,8.9
胡同串子串串香火锅(太阳宫总店),准五星商户,1956,￥79,8.8,8.5,8.7
玉林串串香(崇文门店),准五星商户,1886,￥88,8.7,8.3,8.4
食潮汕头鲜牛馆,准五星商户,191,￥102,8.5,8.9,8.8
古铜老院爆肚涮肉(常营店),准五星商户,668,￥97,8.7,8.5,8.0
百旺签百味火锅串(双榆树店),准五星商户,1197,￥74,8.6,7.6,8.4
八月畔酸汤火锅(亦庄店),五星商户,987,￥130,9.1,9.2,9.1
似玖城老灶火锅,准五星商户,1336,￥110,8.7,8.9,9.0
羊火儿铜锅涮肉(东星时尚广场店),准五星商户,878,￥91,8.8,9.0,8.9
井格老灶火锅(双井店),四星商户,1922,￥128,8.6,8.0,8.1
新辣道鱼火锅(阜成门店),准五星商户,3713,￥87,8.9,8.7,8.8
前后涮羊肉(志新东路店),准五星商户,225,￥89,8.9,8.3,8.9
斗川火锅(程庄路店),五星商户,183,￥101,9.1,9.1,9.2
年年有串(双井店),准五星商户,55,￥78,8.4,8.8,8.8
老门框爆肚(樱花西街店),准五星商户,410,￥107,8.8,8.2,8.4
九号重庆火锅,准五星商户,979,￥99,8.6,8.8,8.3
吉羊三宝涮肉(笔管胡同店),准五星商户,551,￥108,8.7,8.3,8.3
王家渡火锅(顺义店),五星商户,807,￥122,9.1,9.2,8.8
葱葱那年校园主题串串香火锅(中关村店),四星商户,266,￥91,8.3,8.4,8.5
林聪梁山鸡火锅,四星商户,387,￥67,8.2,9.0,8.8
福华肥牛城(古城路店),五星商户,982,￥86,8.9,8.7,8.4
湘肠香酒楼(莲花池店),准五星商户,879,￥94,8.8,7.7,8.1
汕头老字号福合埕潮汕牛肉火锅,四星商户,912,￥150,8.4,8.4,7.6
京涮府老北京铜锅涮肉(西大望路店),准五星商户,79,￥93,8.6,8.6,8.6
蝎王府(旧宫店),准五星商户,936,￥80,9.0,8.6,8.4
东来顺饭庄(中关村海淀大街店),四星商户,5527,￥103,8.1,7.8,7.4
潮黄记潮汕牛肉火锅(双井店),准五星商户,1014,￥107,8.8,8.1,8.7
泉味·道 贵州私厨,准五星商户,1664,￥97,8.6,8.3,8.2
皇城老妈(德胜店),准五星商户,2776,￥147,8.2,8.5,7.8
香家火锅(亦庄文化园东路店),准五星商户,776,￥105,8.8,9.0,8.9
香草香草云南原生态火锅(北苑华贸店),五星商户,624,￥129,9.0,9.0,9.1
李嘉嘉串串香(长虹桥店),四星商户,2586,￥95,8.6,7.7,7.8
京城第一羯,准五星商户,617,￥78,8.6,7.9,8.3
厨匠重庆火锅,准五星商户,678,￥103,8.8,9.2,8.5
小辉哥火锅(五棵松店),准五星商户,1991,￥136,8.5,9.0,8.9
老北京丰泽居(三十年老店),准五星商户,353,￥84,9.0,7.5,7.5
王婆大虾(圣熙八号店),准五星商户,603,￥72,9.0,8.3,8.7
海底捞火锅(喜隆多店),准五星商户,255,￥113,9.1,8.6,9.0
山釜餐厅,准五星商户,743,￥350,8.5,9.0,8.0
誉满楼姿造火锅,五星商户,410,￥145,8.9,9.3,9.0
唇辣号重庆老火锅(洋桥店),五星商户,614,￥126,9.1,9.1,9.1
牛莽莽全牛火锅,五星商户,304,￥86,9.1,9.1,9.1
潮牛庄园·潮汕鲜牛肉火锅(回龙观店),准五星商户,353,￥88,8.3,9.0,8.6
宽板凳老灶火锅(三里屯店),准五星商户,1186,￥122,8.6,8.6,8.6
口福居老北京涮肉(西单店),四星商户,1709,￥88,8.2,7.7,7.6
狼爱上羊音乐火锅,五星商户,298,￥107,9.0,9.1,9.0
滇草香云南原生态汤火锅(长楹天街购物中心店),准五星商户,1510,￥139,8.9,9.2,8.8
陈记老北京铜锅涮肉(慈云寺店),准五星商户,358,￥102,8.9,8.5,8.9
蝎王府(兴华大街店),准五星商户,3016,￥84,9.1,8.4,8.1
六婆串串香火锅(圣熙八号店),四星商户,955,￥87,8.4,8.4,8.2
井格老灶火锅(凯德MALL店),四星商户,1226,￥121,8.4,8.3,7.9
潮鼎香潮汕牛肉火锅(五棵松华熙LIVEhi·up店),四星商户,566,￥98,8.4,8.6,8.1
傅婆婆串串香,四星商户,171,￥92,8.4,8.4,9.0
杨家火锅(四道口店),准五星商户,1670,￥122,8.6,8.5,8.4
阿丽斑鱼庄(永定路店),准五星商户,1738,￥94,9.0,8.9,7.8
